augmentation,n_layers,d_model,val_loss,val_BLEU,ans_1,perplexity_1,ans_2,perplexity_2,ans_3,perplexity_3,ans_4,perplexity_4
baseline,1,128,2.7801,0.0389,마음 에 따라 얼마 든지 바뀔 수 있 어요 .,41.6,제 가 들 어 가 있 네요 .,24.77,인생 은 아니 었 을 거 예요 .,38.29,같이 가 보 세요 .,20.33
baseline,1,368,2.8055,0,저 랑 같이 가요 .,32.83,사춘기 인가 봅니다 .,29.88,그 사람 도 당신 을 좋아하 는지 깊 게 만들 어요 .,35.32,내 집 에 는 들어줄 거 예요 .,36.71
baseline,2,368,2.9923,0.033,같이 등산 를 데이트 를 해 보 세요 .,24.63,정신 적 이 죠 .,48.44,데이트 신청 해 보 세요 .,24.05,혼자 를 즐기 세요 .,19.63
baseline,2,128,2.7917,0.0733,저 도 같이 놀 러 가 서 놀 러 가 서 놀 아요 .,28.92, 저 에게 기대 세요 ,27.91,다른 곳 에 가 보 세요 .,41.42,사랑 은 사람 이 라면 문제 네요 .,38.73
backtTranslation(9263 쌍 추가),1,128,3.6177,0.0355,그런 사람 은 항상 오 죠 .,13.54131087,오늘 은 항상 일어나 세요 .,6.346775459,커피 향 좋 죠 .,27.89549548,그런 사람 은 항상 오 죠 .,13.08366989
backtTranslation(9263 쌍 추가),1,368,3.5524,0.0374,그런 사람 은 항상 오 죠 .,13.54131087,오늘 은 항상 일어나 세요 .,6.346775459,커피 향 좋 죠 .,27.89549548,그런 사람 은 항상 오 죠 .,13.08366989
backtTranslation(9263 쌍 추가),2,128,3.5466,0.0355,그런 사람 은 항상 오 죠 .,13.54131087,오늘 은 항상 일어나 세요 .,6.346775459,커피 향 좋 죠 .,27.89549548,그런 사람 은 항상 오 죠 .,13.08366989
backtTranslation(9263 쌍 추가),2,368,3.631,0.0364,그런 사람 은 항상 오 죠 .,13.54131087,오늘 은 항상 일어나 세요 .,6.346775459,커피 향 좋 죠 .,27.89549548,그런 사람 은 항상 오 죠 .,13.08366989
lexical(20545 쌍 추가),1,128,1.129,0.6975,'바쁘 게 해 보 세요 .’,1.6015776,'짝사랑 인지 생각 해 보 세요 .’,1.7514379,'분위기 있 는 순간 은 군요 .’,1.7995653,'사랑 이 피곤 한가 봐요 .’,1.7309943
lexical(20545 쌍 추가),1,368,1.062,0.6148,'저 도 궁금하 으며 겠 어요 .’,1.4265732,'고민 하 지 말 고 내려놓 길 바랄게요 .’,1.5650932,'고생 많 았 어요 .’,1.6337286,'저 도 긴장 해 주 세요 .’,1.8746898
lexical(20545 쌍 추가),2,128,1.1471,0.6477,'저 도 배우 면 좋 죠 .’,1.5448112,'힘드 시 면 안 하 는 게 도움 이 그냥 맘 편할 거 예요 .’,1.584318,'후회 하 지 않 길 바라 요 .’,1.5189766,'세상 걱정 되 지 않 을까요 .’,1.9953686
lexical(20545 쌍 추가),2,368,1.1038,0.7197,'당신 은 매력 은 네요 .’,1.6321014,'아닐 거 예요 .’,1.6167173,'그러 는 편 이 나 을 거 예요 .’,1.4908601,'긍정 적 인 변화 이 길 바랍니다 .’,1.7933534
koEDA (34785 쌍 추가),1,128,3.4302,0.0327,"행어스히어스는 지루하다, 놀러가고 싶어",2.05,"가제국이 카고 없수는니.
세리검고: 고성",5.15,한국서 배밄바 비에 여자친구랑 데이트 여�,3.33,가어도 이레어도어도도 과도 서과서에�,4.92
koEDA (34785 쌍 추가),1,368,3.3574,0.0494,"팀해시지지는 있는 지루하다, 놀러가고 싶�",3.29,"가어났더니 미요들이 어는니다.
질문: 오늘 �",3.53,간만에 여자친구랑 데이트 하기로 했어.,1.09,호어 있는다는 소리야. 저드가: 야잘하다고,3.04
koEDA (34785 쌍 추가),2,128,3.4472,0,하고 자성한 모고 적청은 적청은 부신어 고�,5.69,"할에 일를동고 장지만 이명을 이내다.
아무",5.44,기사람의 스트 이지 가리드 다고 어르 별게,5,"계말 안식지는 있는다는 소리야.
나지: 사�",3.81
koEDA (34785 쌍 추가),2,368,3.4638,0.1067,"과제과, 저연는 네무리기고 지는부게으�",6.24,가사질다가 지를 실늘 게지를 수는니다. 신�,5.78,것만에 여자친구랑 데이트 하기로 했어.,1.32,트무에 있는다는 소리야지 들에 있는다는 �,2.54
